sessionID,TARGET
SESSION_252289,29.0
SESSION_252290,1.0
SESSION_252291,3.0
SESSION_252292,4.0
SESSION_252293,11.0
SESSION_252294,4.0
SESSION_252295,12.0
SESSION_252296,4.0
SESSION_252297,1.0
SESSION_252298,1.0
SESSION_252299,3.0
SESSION_252300,1.0
SESSION_252301,4.0
SESSION_252302,13.0
SESSION_252303,1.0
SESSION_252304,1.0
SESSION_252305,1.0
SESSION_252306,1.0
SESSION_252307,1.0
SESSION_252308,1.0
SESSION_252309,5.0
SESSION_252310,2.0
SESSION_252311,12.0
SESSION_252312,1.0
SESSION_252313,3.0
SESSION_252314,8.0
SESSION_252315,1.0
SESSION_252316,13.0
SESSION_252317,1.0
SESSION_252318,1.0
SESSION_252319,3.0
SESSION_252320,25.0
SESSION_252321,1.0
SESSION_252322,4.0
SESSION_252323,7.0
SESSION_252324,2.0
SESSION_252325,2.0
SESSION_252326,3.0
SESSION_252327,9.0
SESSION_252328,7.0
SESSION_252329,1.0
SESSION_252330,3.0
SESSION_252331,1.0
SESSION_252332,5.0
SESSION_252333,4.0
SESSION_252334,1.0
SESSION_252335,2.0
SESSION_252336,2.0
SESSION_252337,1.0
SESSION_252338,24.0
SESSION_252339,11.0
SESSION_252340,4.0
SESSION_252341,3.0
SESSION_252342,1.0
SESSION_252343,4.0
SESSION_252344,5.0
SESSION_252345,1.0
SESSION_252346,1.0
SESSION_252347,4.0
SESSION_252348,1.0
SESSION_252349,1.0
SESSION_252350,1.0
SESSION_252351,3.0
SESSION_252352,21.0
SESSION_252353,1.0
SESSION_252354,1.0
SESSION_252355,1.0
SESSION_252356,1.0
SESSION_252357,1.0
SESSION_252358,4.0
SESSION_252359,5.0
SESSION_252360,6.0
SESSION_252361,1.0
SESSION_252362,3.0
SESSION_252363,4.0
SESSION_252364,1.0
SESSION_252365,15.0
SESSION_252366,7.0
SESSION_252367,1.0
SESSION_252368,12.0
SESSION_252369,1.0
SESSION_252370,1.0
SESSION_252371,7.0
SESSION_252372,3.0
SESSION_252373,1.0
SESSION_252374,23.0
SESSION_252375,1.0
SESSION_252376,4.0
SESSION_252377,9.0
SESSION_252378,4.0
SESSION_252379,4.0
SESSION_252380,1.0
SESSION_252381,3.0
SESSION_252382,10.0
SESSION_252383,11.0
SESSION_252384,3.0
SESSION_252385,6.0
SESSION_252386,1.0
SESSION_252387,1.0
SESSION_252388,1.0
SESSION_252389,1.0
SESSION_252390,1.0
SESSION_252391,1.0
SESSION_252392,4.0
SESSION_252393,10.0
SESSION_252394,1.0
SESSION_252395,1.0
SESSION_252396,1.0
SESSION_252397,1.0
SESSION_252398,1.0
SESSION_252399,3.0
SESSION_252400,1.0
SESSION_252401,12.0
SESSION_252402,1.0
SESSION_252403,1.0
SESSION_252404,1.0
SESSION_252405,1.0
SESSION_252406,1.0
SESSION_252407,2.0
SESSION_252408,1.0
SESSION_252409,1.0
SESSION_252410,3.0
SESSION_252411,1.0
SESSION_252412,11.0
SESSION_252413,1.0
SESSION_252414,2.0
SESSION_252415,6.0
SESSION_252416,1.0
SESSION_252417,2.0
SESSION_252418,1.0
SESSION_252419,4.0
SESSION_252420,2.0
SESSION_252421,3.0
SESSION_252422,1.0
SESSION_252423,1.0
SESSION_252424,3.0
SESSION_252425,1.0
SESSION_252426,3.0
SESSION_252427,3.0
SESSION_252428,16.0
SESSION_252429,1.0
SESSION_252430,1.0
SESSION_252431,1.0
SESSION_252432,8.0
SESSION_252433,13.0
SESSION_252434,28.0
SESSION_252435,2.0
SESSION_252436,3.0
SESSION_252437,38.0
SESSION_252438,3.0
SESSION_252439,13.0
SESSION_252440,2.0
SESSION_252441,1.0
SESSION_252442,4.0
SESSION_252443,1.0
SESSION_252444,1.0
SESSION_252445,3.0
SESSION_252446,4.0
SESSION_252447,1.0
SESSION_252448,2.0
SESSION_252449,1.0
SESSION_252450,1.0
SESSION_252451,1.0
SESSION_252452,6.0
SESSION_252453,1.0
SESSION_252454,3.0
SESSION_252455,1.0
SESSION_252456,5.0
SESSION_252457,11.0
SESSION_252458,3.0
SESSION_252459,4.0
SESSION_252460,4.0
SESSION_252461,3.0
SESSION_252462,1.0
SESSION_252463,5.0
SESSION_252464,3.0
SESSION_252465,3.0
SESSION_252466,3.0
SESSION_252467,4.0
SESSION_252468,5.0
SESSION_252469,1.0
SESSION_252470,6.0
SESSION_252471,1.0
SESSION_252472,2.0
SESSION_252473,1.0
SESSION_252474,2.0
SESSION_252475,3.0
SESSION_252476,5.0
SESSION_252477,4.0
